Line Item,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032
Facilities & rent (T-Hub + expansion),0.19983333333333334,1.2393285211267608,4.113307894736842,8.994687999999998,19.383612738853504,33.56315454545455
"Legal, IP & compliance",0.11989999999999998,0.8262190140845072,2.7422052631578944,5.62168,11.182853503184713,17.664818181818184
Audit & professional fees,0.07993333333333331,0.4957314084507043,1.599619736842105,3.3730079999999996,6.709712101910828,10.59889090909091
"Insurance (D&O, liability, product)",0.05994999999999999,0.4131095070422536,1.3711026315789472,3.091924,6.336950318471337,10.59889090909091
"IT, software & subscriptions (non-R&D)",0.07993333333333331,0.4957314084507043,1.599619736842105,3.3730079999999996,7.082473885350318,11.482131818181818
Travel & other admin,0.05994999999999999,0.44065014084507054,1.599619736842105,3.6540919999999995,7.827997452229298,13.248613636363636
