Platform,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032,FY2027 (ratio),FY2028 (ratio),FY2029 (ratio),FY2030 (ratio),FY2031 (ratio),FY2032 (ratio)
Silicon,0,0.35400000000000004,3.75,12.000000000000002,33,75,0,0.00859932954379828,0.025910763331087737,0.03415349148297307,0.045110006903198024,0.054036528693396736
Sensors,0.375,1.4500000000000002,3.975,9,18.5,33.5,0.06255212677231027,0.035223242481659624,0.027465409130953,0.025615118612229797,0.02528894326391404,0.02413631614971721
Systems,5.619999999999999,39.362,135.0025,324.35499999999996,662.0450000000001,1229.45,0.9374478732276897,0.9561774279745421,0.9328047537613792,0.9231546441633106,0.9049955915220527,0.8858028026946215
Sentience,0,0,2,6,18,50,0,0,0.013819073776580126,0.017076745741486533,0.024605458310835285,0.036024352462264486
