Line Item,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032
EDA tools & design licences,0.6,2.75,8.186987155437176,16.531369604889875,28.749307474385816,45.096805676606174
Cloud / HPC compute for AI training,0.4,2.0223998393266602,8.186987155437176,17.340187234229138,30.764138916492236,48.48341842889658
"Lab, prototyping & test equipment",0.33025514641925197,1.8615928904458592,7.0718806891256465,15.318143160880982,27.54040860912196,43.826825894497276
Total Run Rate,1.330255146419252,6.633992729772519,23.445854999999998,49.18969999999999,87.05385500000001,137.40705000000003
SoC4 5nm tape-out program,0.4,6.282960749999999,19.342830375,55.33841249999999,121.25358375,240.4623375
