Platform,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032,FY2027 (ratio),FY2028 (ratio),FY2029 (ratio),FY2030 (ratio),FY2031 (ratio),FY2032 (ratio)
Chipsets,0,0.35400000000000004,3.75,12.000000000000002,33,75,0,0.00859932954379828,0.025910763331087737,0.03415349148297307,0.045110006903198024,0.054036528693396736
Sensor Modules,0.375,1.4500000000000002,3.975,9,18.5,33.5,0.06255212677231027,0.035223242481659624,0.027465409130953,0.025615118612229797,0.02528894326391404,0.02413631614971721
Robotics Systems,2.12,6.400000000000001,20.1,44,89.6,153,0.3536280233527941,0.15546810474663558,0.13888169145463028,0.12522946877090124,0.1224805035917134,0.11023451853452934
Mobility Systems,3.5,27.056,101.115,251.53,516.0450000000001,966.15,0.5838198498748958,0.6572414128164018,0.6986578224594496,0.715885642726018,0.7054179852230553,0.6960985626283367
Compute Hardware,0,5.906000000000001,13.7875,28.825,56.4,110.3,0,0.14346791041150464,0.09526523984729923,0.08203953266639155,0.07709710270728388,0.07946972153175547
AI Software / SaaS,0,0,2,6,18,50,0,0,0.013819073776580126,0.017076745741486533,0.024605458310835285,0.036024352462264486
