Overheads,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032,Comment
R&D % of revenue (total),0.28861637137935814,0.31377723071885827,0.29565,0.2975,0.28475000000000006,0.27225,Total R&D; split into run-rate + SoC4 5nm in P&L
  of which: run-rate R&D %,0.22189410282222718,0.16115223071885826,0.162,0.13999999999999999,0.11900000000000002,0.09900000000000002,Sustaining SoC2 + software; remainder funds SoC4 5nm
Sales & Marketing % of revenue,0.09341117597998333,0.14217825389884856,0.1386756905218428,0.1339999174623956,0.1290753621445024,0.12408100153463739,
G&A % of revenue,0.09999999999999999,0.09500000000000001,0.08999999999999998,0.07999999999999999,0.08,0.06999999999999999,
D&A % of revenue,0.02,0.02,0.02,0.02,0.02,0.02,
