Line Item,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032
Digital marketing & demand generation,0.1,1.170582,4.014037200000001,9.4163082,18.88488716,34.443645216
"Field pilots, demos & evaluation units",0.2,1.7558729999999998,6.021055800000001,14.124462299999998,28.327330739999997,51.665467824
Channel & partner commissions,0.1,1.4632275,5.017546500000001,11.770385249999999,23.60610895,43.05455652
"Trade shows, events & branding",0.08,0.7023491999999999,2.40842232,5.649784919999999,11.330932295999999,20.666187129599997
Customer success & field support,0.08,0.7608783,2.6091241800000007,6.120600329999999,12.275176654000001,22.3883693904
