Platform,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032,FY2027 (ratio),FY2028 (ratio),FY2029 (ratio),FY2030 (ratio),FY2031 (ratio),FY2032 (ratio)
Licence / OEM Supply,0,0.35400000000000004,3.75,12.000000000000002,33,75,0,0.00859932954379828,0.025910763331087737,0.03415349148297307,0.045110006903198024,0.054036528693396736
Product Sales,5.995,37.512,132.3775,316.85499999999996,647.5450000000001,1196.95,1.0000000000000002,0.9112374289462177,0.9146672194296178,0.9018087119864524,0.8851745278827686,0.8623869735941496
Rental / TaaS,0,3.3,6.6,16.5,33,66,0,0.08016324150998395,0.04560294346271441,0.046961050789087966,0.045110006903198024,0.04755214525018912
SaaS Subscription,0,0,2,6,18,50,0,0,0.013819073776580126,0.017076745741486533,0.024605458310835285,0.036024352462264486
